Buffer size: 65536; Object size: 192; Weak refs for all: true
[GC (Allocation Failure)  18139K->5691K(22528K), 0.0194474 secs]
[GC (Allocation Failure)  17979K->5307K(22528K), 0.0153513 secs]
[GC (Allocation Failure)  17595K->4923K(22528K), 0.0094837 secs]
[GC (Allocation Failure)  17211K->4475K(22528K), 0.0042318 secs]
[GC (Allocation Failure)  16763K->6203K(22528K), 0.0279284 secs]
[GC (Allocation Failure)  18491K->5947K(22528K), 0.0229128 secs]
[GC (Allocation Failure)  18235K->5563K(22528K), 0.0170389 secs]
[GC (Allocation Failure)  17851K->5179K(22528K), 0.0106015 secs]
[GC (Allocation Failure)  17467K->4731K(22528K), 0.0041885 secs]
[GC (Allocation Failure)  17019K->6435K(22528K), 0.0286075 secs]
[GC (Allocation Failure)  18723K->6339K(22528K), 0.0205793 secs]
[GC (Allocation Failure)  18627K->5923K(22528K), 0.0145231 secs]
[GC (Allocation Failure)  18211K->5443K(22528K), 0.0087966 secs]
[GC (Allocation Failure)  17731K->5059K(22528K), 0.0035782 secs]
[GC (Allocation Failure)  17347K->6715K(22528K), 0.0273949 secs]
[GC (Allocation Failure)  19003K->6587K(22528K), 0.0235886 secs]
[GC (Allocation Failure)  18875K->6171K(22528K), 0.0161585 secs]
[GC (Allocation Failure)  18459K->5723K(22528K), 0.0096167 secs]
[GC (Allocation Failure)  18011K->5307K(22528K), 0.0038543 secs]
[GC (Allocation Failure)  17595K->6955K(22528K), 0.0267582 secs]
[GC (Allocation Failure)  19243K->6827K(22528K), 0.0216858 secs]
[GC (Allocation Failure)  19115K->6411K(22528K), 0.0166232 secs]
[GC (Allocation Failure)  18699K->6027K(22528K), 0.0101459 secs]
[GC (Allocation Failure)  18315K->5611K(22528K), 0.0037838 secs]
[GC (Allocation Failure)  17899K->7219K(22528K), 0.0270376 secs]
[GC (Allocation Failure)  19507K->7091K(22528K), 0.0203455 secs]
[GC (Allocation Failure)  19379K->6675K(22528K), 0.0153371 secs]
[GC (Allocation Failure)  18963K->6291K(22528K), 0.0084377 secs]
[GC (Allocation Failure)  18579K->5843K(22528K), 0.0036443 secs]
[GC (Allocation Failure)  18131K->7547K(22528K), 0.0251067 secs]
[GC (Allocation Failure)  19835K->7355K(22528K), 0.0201093 secs]
[GC (Allocation Failure)  19643K->6907K(22528K), 0.0137502 secs]
[GC (Allocation Failure)  19195K->6555K(22528K), 0.0082825 secs]
[GC (Allocation Failure)  18843K->6107K(22528K), 0.0031382 secs]
[GC (Allocation Failure)  18395K->7835K(22528K), 0.0240533 secs]
[GC (Allocation Failure)  20123K->7611K(22528K), 0.0198907 secs]
[GC (Allocation Failure)  19899K->7131K(22528K), 0.0152287 secs]
[GC (Allocation Failure)  19419K->6779K(22528K), 0.0088681 secs]
[GC (Allocation Failure)  19067K->6363K(22528K), 0.0029817 secs]
[GC (Allocation Failure)  18651K->8059K(22528K), 0.0273483 secs]
[GC (Allocation Failure)  20347K->7867K(22528K), 0.0213149 secs]
[GC (Allocation Failure)  20155K->7483K(22528K), 0.0125066 secs]
[GC (Allocation Failure)  19771K->7035K(22528K), 0.0074445 secs]
[GC (Allocation Failure)  19323K->6619K(22528K), 0.0032581 secs]
[GC (Allocation Failure)  18907K->8275K(22528K), 0.0230457 secs]
[GC (Allocation Failure)  20563K->8083K(22528K), 0.0227806 secs]
[GC (Allocation Failure)  20371K->7699K(22528K), 0.0155188 secs]
[GC (Allocation Failure)  19987K->7315K(22528K), 0.0091021 secs]
[GC (Allocation Failure)  19603K->6835K(22528K), 0.0032693 secs]
[GC (Allocation Failure)  19123K->8619K(22528K), 0.0251497 secs]
[GC (Allocation Failure)  20907K->8331K(22528K), 0.0194380 secs]
[GC (Allocation Failure)  20619K->7947K(22528K), 0.0175911 secs]
[GC (Allocation Failure)  20235K->7531K(22528K), 0.0098164 secs]
[GC (Allocation Failure)  19819K->7115K(22528K), 0.0037316 secs]
[GC (Allocation Failure)  19403K->8795K(22528K), 0.0222358 secs]
[GC (Allocation Failure)  21083K->8603K(22528K), 0.0187627 secs]
[GC (Allocation Failure)  20891K->8123K(22528K), 0.0145356 secs]
[GC (Allocation Failure)  20411K->7675K(22528K), 0.0092448 secs]
[GC (Allocation Failure)  19963K->7323K(22528K), 0.0032630 secs]
[GC (Allocation Failure)  19611K->8971K(22528K), 0.0354806 secs]
[GC (Allocation Failure)  21259K->8811K(22528K), 0.0260044 secs]
[GC (Allocation Failure)  21099K->8395K(22528K), 0.0181321 secs]
[GC (Allocation Failure)  20683K->7979K(22528K), 0.0098704 secs]
[GC (Allocation Failure)  20267K->7563K(22528K), 0.0033527 secs]
[GC (Allocation Failure)  19851K->9195K(22528K), 0.0241942 secs]
[GC (Allocation Failure)  21483K->9035K(22528K), 0.0200669 secs]
[GC (Allocation Failure)  21323K->8555K(22528K), 0.0143254 secs]
[GC (Allocation Failure)  20843K->8139K(22528K), 0.0081733 secs]
[GC (Allocation Failure)  20427K->7787K(22528K), 0.0031726 secs]
[GC (Allocation Failure)  20075K->9443K(22528K), 0.0244233 secs]
[Full GC (Ergonomics)  9443K->3394K(22528K), 0.0220376 secs]
[GC (Allocation Failure)  15682K->4930K(22528K), 0.0237526 secs]
[GC (Allocation Failure)  17218K->4578K(22528K), 0.0163119 secs]
[GC (Allocation Failure)  16866K->4130K(22528K), 0.0109740 secs]
[GC (Allocation Failure)  16418K->3714K(22528K), 0.0035638 secs]
[GC (Allocation Failure)  16002K->5370K(22528K), 0.0254870 secs]
[GC (Allocation Failure)  17658K->5178K(22528K), 0.0204245 secs]
[GC (Allocation Failure)  17466K->4730K(22528K), 0.0144928 secs]
[GC (Allocation Failure)  17018K->4314K(22528K), 0.0079927 secs]
[GC (Allocation Failure)  16602K->3962K(22528K), 0.0027490 secs]
[GC (Allocation Failure)  16250K->5642K(22528K), 0.0278314 secs]
[GC (Allocation Failure)  17930K->5322K(22528K), 0.0218175 secs]
[GC (Allocation Failure)  17610K->4874K(22528K), 0.0150660 secs]
[GC (Allocation Failure)  17162K->4586K(22528K), 0.0076857 secs]
[GC (Allocation Failure)  16874K->4138K(22528K), 0.0023943 secs]
[GC (Allocation Failure)  16426K->5786K(22528K), 0.0244527 secs]
[GC (Allocation Failure)  18074K->5530K(22528K), 0.0174953 secs]
[GC (Allocation Failure)  17818K->5082K(22528K), 0.0123117 secs]
[GC (Allocation Failure)  17370K->4762K(22528K), 0.0072596 secs]
[GC (Allocation Failure)  17050K->4346K(22528K), 0.0026444 secs]
[GC (Allocation Failure)  16634K->5954K(22528K), 0.0268881 secs]
[GC (Allocation Failure)  18242K->5698K(22528K), 0.0187150 secs]
[GC (Allocation Failure)  17986K->5378K(22528K), 0.0117443 secs]
[GC (Allocation Failure)  17666K->4866K(22528K), 0.0072432 secs]
[GC (Allocation Failure)  17154K->4546K(22528K), 0.0023911 secs]
[GC (Allocation Failure)  16834K->6178K(22528K), 0.0216102 secs]
[GC (Allocation Failure)  18466K->5954K(22528K), 0.0177472 secs]
[GC (Allocation Failure)  18242K->5506K(22528K), 0.0126534 secs]
[GC (Allocation Failure)  17794K->5090K(22528K), 0.0086718 secs]
[GC (Allocation Failure)  17378K->4706K(22528K), 0.0028043 secs]
[GC (Allocation Failure)  16994K->6338K(22528K), 0.0225866 secs]
[GC (Allocation Failure)  18626K->6082K(22528K), 0.0192762 secs]
[GC (Allocation Failure)  18370K->5698K(22528K), 0.0144353 secs]
[GC (Allocation Failure)  17986K->5346K(22528K), 0.0079253 secs]
[GC (Allocation Failure)  17634K->4898K(22528K), 0.0031978 secs]
[GC (Allocation Failure)  17186K->6586K(22528K), 0.0230714 secs]
[GC (Allocation Failure)  18874K->6330K(22528K), 0.0170584 secs]
[GC (Allocation Failure)  18618K->5882K(22528K), 0.0131518 secs]
[GC (Allocation Failure)  18170K->5466K(22528K), 0.0076715 secs]
[GC (Allocation Failure)  17754K->5082K(22528K), 0.0022594 secs]
[GC (Allocation Failure)  17370K->6730K(22528K), 0.0231867 secs]
[GC (Allocation Failure)  19018K->6442K(22528K), 0.0199430 secs]
[GC (Allocation Failure)  18730K->6090K(22528K), 0.0137194 secs]
[GC (Allocation Failure)  18378K->5674K(22528K), 0.0066155 secs]
[GC (Allocation Failure)  17962K->5258K(22528K), 0.0030372 secs]
[GC (Allocation Failure)  17546K->6906K(22528K), 0.0258372 secs]
[GC (Allocation Failure)  19194K->6650K(22528K), 0.0187876 secs]
[GC (Allocation Failure)  18938K->6266K(22528K), 0.0118662 secs]
[GC (Allocation Failure)  18554K->5786K(22528K), 0.0067545 secs]
[GC (Allocation Failure)  18074K->5466K(22528K), 0.0021809 secs]
[GC (Allocation Failure)  17754K->7082K(22528K), 0.0221203 secs]
[GC (Allocation Failure)  19370K->6826K(22528K), 0.0180364 secs]
[GC (Allocation Failure)  19114K->6346K(22528K), 0.0128249 secs]
[GC (Allocation Failure)  18634K->5930K(22528K), 0.0073812 secs]
[GC (Allocation Failure)  18218K->5610K(22528K), 0.0022975 secs]
[GC (Allocation Failure)  17898K->7306K(22528K), 0.0242958 secs]
[GC (Allocation Failure)  19594K->6922K(22528K), 0.0176884 secs]
[GC (Allocation Failure)  19210K->6602K(22528K), 0.0110236 secs]
[GC (Allocation Failure)  18890K->6090K(22528K), 0.0063547 secs]
[GC (Allocation Failure)  18378K->5802K(22528K), 0.0025221 secs]
[GC (Allocation Failure)  18090K->7362K(22528K), 0.0260401 secs]
[GC (Allocation Failure)  19650K->7106K(22528K), 0.0188188 secs]
[GC (Allocation Failure)  19394K->6690K(22528K), 0.0133670 secs]
[GC (Allocation Failure)  18978K->6242K(22528K), 0.0067522 secs]
[GC (Allocation Failure)  18530K->5922K(22528K), 0.0022889 secs]
[GC (Allocation Failure)  18210K->7506K(22528K), 0.0208086 secs]
[GC (Allocation Failure)  19794K->7250K(22528K), 0.0165936 secs]
[GC (Allocation Failure)  19538K->6930K(22528K), 0.0114924 secs]
[GC (Allocation Failure)  19218K->6418K(22528K), 0.0055608 secs]
[GC (Allocation Failure)  18706K->6098K(22528K), 0.0022746 secs]
[GC (Allocation Failure)  18386K->7642K(22528K), 0.0231372 secs]
[GC (Allocation Failure)  19930K->7450K(22528K), 0.0188545 secs]
[GC (Allocation Failure)  19738K->6970K(22528K), 0.0131234 secs]
[GC (Allocation Failure)  19258K->6522K(22528K), 0.0071563 secs]
[GC (Allocation Failure)  18810K->6202K(22528K), 0.0020693 secs]
[GC (Allocation Failure)  18490K->7858K(22528K), 0.0242835 secs]
[GC (Allocation Failure)  20146K->7506K(22528K), 0.0167795 secs]
[GC (Allocation Failure)  19794K->7090K(22528K), 0.0111723 secs]
[GC (Allocation Failure)  19378K->6674K(22528K), 0.0066905 secs]
[GC (Allocation Failure)  18962K->6322K(22528K), 0.0023046 secs]
[GC (Allocation Failure)  18610K->7930K(22528K), 0.0242713 secs]
[GC (Allocation Failure)  20218K->7642K(22528K), 0.0177473 secs]
[GC (Allocation Failure)  19930K->7258K(22528K), 0.0107958 secs]
[GC (Allocation Failure)  19546K->6778K(22528K), 0.0059733 secs]
[GC (Allocation Failure)  19066K->6490K(22528K), 0.0014105 secs]
[GC (Allocation Failure)  18778K->8042K(22528K), 0.0199608 secs]
[GC (Allocation Failure)  20330K->7690K(22528K), 0.0165237 secs]
[GC (Allocation Failure)  19978K->7338K(22528K), 0.0118286 secs]
[GC (Allocation Failure)  19626K->6858K(22528K), 0.0064335 secs]
[GC (Allocation Failure)  19146K->6570K(22528K), 0.0014739 secs]
[GC (Allocation Failure)  18858K->8218K(22528K), 0.0260578 secs]
[GC (Allocation Failure)  20506K->7866K(22528K), 0.0201211 secs]
[GC (Allocation Failure)  20154K->7418K(22528K), 0.0132007 secs]
[GC (Allocation Failure)  19706K->6970K(22528K), 0.0070326 secs]
[GC (Allocation Failure)  19258K->6682K(22528K), 0.0019368 secs]
[GC (Allocation Failure)  18970K->8306K(22528K), 0.0231366 secs]
[GC (Allocation Failure)  20594K->7890K(22528K), 0.0164310 secs]
[GC (Allocation Failure)  20178K->7570K(22528K), 0.0107482 secs]
[GC (Allocation Failure)  19858K->7058K(22528K), 0.0060557 secs]
[GC (Allocation Failure)  19346K->6802K(22528K), 0.0018672 secs]
[GC (Allocation Failure)  19090K->8442K(22528K), 0.0209428 secs]
[GC (Allocation Failure)  20730K->8026K(22528K), 0.0157808 secs]
[GC (Allocation Failure)  20314K->7706K(22528K), 0.0103426 secs]
[GC (Allocation Failure)  19994K->7226K(22528K), 0.0056586 secs]
[GC (Allocation Failure)  19514K->6778K(22528K), 0.0015798 secs]
[GC (Allocation Failure)  19066K->8426K(22528K), 0.0256816 secs]
[GC (Allocation Failure)  20714K->8170K(22528K), 0.0201484 secs]
[GC (Allocation Failure)  20458K->7786K(22528K), 0.0131196 secs]
[GC (Allocation Failure)  20074K->7306K(22528K), 0.0071590 secs]
[GC (Allocation Failure)  19594K->7018K(22528K), 0.0019528 secs]
[GC (Allocation Failure)  19306K->8650K(22528K), 0.0199539 secs]
[GC (Allocation Failure)  20938K->8298K(22528K), 0.0167913 secs]
[GC (Allocation Failure)  20586K->7786K(22528K), 0.0117879 secs]
[GC (Allocation Failure)  20074K->7370K(22528K), 0.0068367 secs]
[GC (Allocation Failure)  19658K->7082K(22528K), 0.0018519 secs]
[GC (Allocation Failure)  19370K->8722K(22528K), 0.0263960 secs]
[GC (Allocation Failure)  21010K->8370K(22528K), 0.0206501 secs]
[GC (Allocation Failure)  20658K->7922K(22528K), 0.0120453 secs]
[GC (Allocation Failure)  20210K->7602K(22528K), 0.0059134 secs]
[GC (Allocation Failure)  19890K->7186K(22528K), 0.0017220 secs]
[GC (Allocation Failure)  19474K->8802K(22528K), 0.0237786 secs]
[GC (Allocation Failure)  21090K->8450K(22528K), 0.0191908 secs]
[GC (Allocation Failure)  20738K->8002K(22528K), 0.0120516 secs]
