Buffer size: 65536; Object size: 192; Weak refs for all: false
[GC (Allocation Failure)  16105K->5545K(22528K), 0.0247610 secs]
[GC (Allocation Failure)  17833K->5321K(22528K), 0.0160294 secs]
[GC (Allocation Failure)  17609K->5001K(22528K), 0.0120298 secs]
[GC (Allocation Failure)  17289K->4521K(22528K), 0.0078863 secs]
[GC (Allocation Failure)  16809K->4105K(22528K), 0.0038755 secs]
[GC (Allocation Failure)  16393K->5737K(22528K), 0.0199334 secs]
[GC (Allocation Failure)  18025K->5609K(22528K), 0.0214156 secs]
[GC (Allocation Failure)  17897K->5257K(22528K), 0.0127585 secs]
[GC (Allocation Failure)  17545K->4777K(22528K), 0.0080518 secs]
[GC (Allocation Failure)  17065K->4489K(22528K), 0.0029270 secs]
[GC (Allocation Failure)  16777K->6081K(22528K), 0.0255942 secs]
[GC (Allocation Failure)  18369K->5889K(22528K), 0.0152533 secs]
[GC (Allocation Failure)  18177K->5537K(22528K), 0.0142633 secs]
[GC (Allocation Failure)  17825K->5057K(22528K), 0.0093722 secs]
[GC (Allocation Failure)  17345K->4705K(22528K), 0.0032273 secs]
[GC (Allocation Failure)  16993K->6385K(22528K), 0.0244056 secs]
[GC (Allocation Failure)  18673K->6193K(22528K), 0.0192196 secs]
[GC (Allocation Failure)  18481K->5745K(22528K), 0.0117505 secs]
[GC (Allocation Failure)  18033K->5361K(22528K), 0.0074379 secs]
[GC (Allocation Failure)  17649K->4977K(22528K), 0.0033392 secs]
[GC (Allocation Failure)  17265K->6681K(22528K), 0.0229422 secs]
[GC (Allocation Failure)  18969K->6425K(22528K), 0.0212417 secs]
[GC (Allocation Failure)  18713K->6041K(22528K), 0.0137208 secs]
[GC (Allocation Failure)  18329K->5689K(22528K), 0.0075026 secs]
[GC (Allocation Failure)  17977K->5209K(22528K), 0.0032548 secs]
[GC (Allocation Failure)  17497K->6841K(22528K), 0.0211782 secs]
[GC (Allocation Failure)  19129K->6713K(22528K), 0.0212765 secs]
[GC (Allocation Failure)  19001K->6297K(22528K), 0.0127543 secs]
[GC (Allocation Failure)  18585K->5849K(22528K), 0.0082630 secs]
[GC (Allocation Failure)  18137K->5497K(22528K), 0.0028026 secs]
[GC (Allocation Failure)  17785K->7129K(22528K), 0.0189446 secs]
[GC (Allocation Failure)  19417K->6969K(22528K), 0.0204058 secs]
[GC (Allocation Failure)  19257K->6585K(22528K), 0.0132079 secs]
[GC (Allocation Failure)  18873K->6169K(22528K), 0.0070473 secs]
[GC (Allocation Failure)  18457K->5721K(22528K), 0.0035845 secs]
[GC (Allocation Failure)  18009K->7377K(22528K), 0.0210341 secs]
[GC (Allocation Failure)  19665K->7153K(22528K), 0.0166279 secs]
[GC (Allocation Failure)  19441K->6801K(22528K), 0.0142247 secs]
[GC (Allocation Failure)  19089K->6385K(22528K), 0.0076097 secs]
[GC (Allocation Failure)  18673K->6001K(22528K), 0.0031189 secs]
[GC (Allocation Failure)  18289K->7657K(22528K), 0.0181653 secs]
[GC (Allocation Failure)  19945K->7465K(22528K), 0.0197519 secs]
[GC (Allocation Failure)  19753K->6953K(22528K), 0.0142903 secs]
[GC (Allocation Failure)  19241K->6633K(22528K), 0.0085984 secs]
[GC (Allocation Failure)  18921K->6185K(22528K), 0.0035821 secs]
[GC (Allocation Failure)  18473K->7889K(22528K), 0.0243561 secs]
[GC (Allocation Failure)  20177K->7601K(22528K), 0.0182707 secs]
[GC (Allocation Failure)  19889K->7281K(22528K), 0.0130385 secs]
[GC (Allocation Failure)  19569K->6801K(22528K), 0.0076922 secs]
[GC (Allocation Failure)  19089K->6417K(22528K), 0.0041588 secs]
[GC (Allocation Failure)  18705K->8049K(22528K), 0.0251147 secs]
[GC (Allocation Failure)  20337K->7889K(22528K), 0.0185653 secs]
[GC (Allocation Failure)  20177K->7473K(22528K), 0.0119237 secs]
[GC (Allocation Failure)  19761K->7057K(22528K), 0.0068885 secs]
[GC (Allocation Failure)  19345K->6673K(22528K), 0.0027683 secs]
[GC (Allocation Failure)  18961K->8305K(22528K), 0.0226105 secs]
