[Full GC (Ergonomics)  20472K->4550K(22528K), 0.0117828 secs]
[GC (Allocation Failure) -- 16838K->20478K(22528K), 0.0489909 secs]
[Full GC (Ergonomics)  20478K->16834K(22528K), 0.0567436 secs]
[GC (Allocation Failure) -- 20429K->20477K(22528K), 0.0141378 secs]
[Full GC (Ergonomics)  20477K->4555K(22528K), 0.0111813 secs]
[GC (Allocation Failure) -- 16843K->20475K(22528K), 0.0504017 secs]
[Full GC (Ergonomics)  20475K->16840K(22528K), 0.0540071 secs]
[GC (Allocation Failure) -- 20423K->20479K(22528K), 0.0131731 secs]
[Full GC (Ergonomics)  20479K->4549K(22528K), 0.0114040 secs]
[GC (Allocation Failure) -- 16837K->20477K(22528K), 0.0514482 secs]
[Full GC (Ergonomics)  20477K->16836K(22528K), 0.0543623 secs]
[GC (Allocation Failure) -- 20425K->20473K(22528K), 0.0117256 secs]
[Full GC (Ergonomics)  20473K->4551K(22528K), 0.0113317 secs]
[GC (Allocation Failure) -- 16839K->20479K(22528K), 0.0463383 secs]
[Full GC (Ergonomics)  20479K->16836K(22528K), 0.0525204 secs]
[GC (Allocation Failure) -- 20429K->20477K(22528K), 0.0127998 secs]
[Full GC (Ergonomics)  20477K->4555K(22528K), 0.0121729 secs]
[GC (Allocation Failure) -- 16843K->20475K(22528K), 0.0446815 secs]
[Full GC (Ergonomics)  20475K->16840K(22528K), 0.0513389 secs]
[GC (Allocation Failure) -- 20420K->20476K(22528K), 0.0131436 secs]
[Full GC (Ergonomics)  20476K->4546K(22528K), 0.0110519 secs]
[GC (Allocation Failure) -- 16834K->20474K(22528K), 0.0463736 secs]
[Full GC (Ergonomics)  20474K->16832K(22528K), 0.0539256 secs]
[GC (Allocation Failure) -- 20421K->20477K(22528K), 0.0132541 secs]
[Full GC (Ergonomics)  20477K->4547K(22528K), 0.0103698 secs]
[GC (Allocation Failure) -- 16835K->20475K(22528K), 0.0459058 secs]
[Full GC (Ergonomics)  20475K->16833K(22528K), 0.0520895 secs]
[GC (Allocation Failure) -- 20424K->20472K(22528K), 0.0139340 secs]
[Full GC (Ergonomics)  20472K->4550K(22528K), 0.0105835 secs]
[GC (Allocation Failure) -- 16838K->20478K(22528K), 0.0460909 secs]
[Full GC (Ergonomics)  20478K->16834K(22528K), 0.0529427 secs]
[GC (Allocation Failure) -- 20426K->20474K(22528K), 0.0138991 secs]
[Full GC (Ergonomics)  20474K->4552K(22528K), 0.0112237 secs]
[GC (Allocation Failure) -- 16840K->20472K(22528K), 0.0463311 secs]
[Full GC (Ergonomics)  20472K->16838K(22528K), 0.0532716 secs]
[GC (Allocation Failure) -- 20420K->20476K(22528K), 0.0140743 secs]
[Full GC (Ergonomics)  20476K->4546K(22528K), 0.0105822 secs]
[GC (Allocation Failure) -- 16834K->20474K(22528K), 0.0476099 secs]
[Full GC (Ergonomics)  20474K->16753K(22528K), 0.0776417 secs]
[GC (Allocation Failure) -- 20361K->20473K(22528K), 0.0190434 secs]
[Full GC (Ergonomics)  20473K->4488K(22528K), 0.0132382 secs]
[GC (Allocation Failure) -- 16776K->20472K(22528K), 0.0488493 secs]
[Full GC (Ergonomics)  20472K->16771K(22528K), 0.0550657 secs]
[GC (Allocation Failure) -- 20419K->20475K(22528K), 0.0144954 secs]
[Full GC (Ergonomics)  20475K->4544K(22528K), 0.0118471 secs]
[GC (Allocation Failure) -- 16832K->20472K(22528K), 0.0476153 secs]
[Full GC (Ergonomics)  20472K->16831K(22528K), 0.0535500 secs]
[GC (Allocation Failure) -- 20421K->20477K(22528K), 0.0126396 secs]
[Full GC (Ergonomics)  20477K->4546K(22528K), 0.0114996 secs]
[GC (Allocation Failure) -- 16834K->20474K(22528K), 0.0465419 secs]
[Full GC (Ergonomics)  20474K->16832K(22528K), 0.0529193 secs]
[GC (Allocation Failure) -- 20423K->20479K(22528K), 0.0121471 secs]
[Full GC (Ergonomics)  20479K->4551K(22528K), 0.0129826 secs]
[GC (Allocation Failure) -- 16839K->20479K(22528K), 0.0473377 secs]
[Full GC (Ergonomics)  20479K->16829K(22528K), 0.0542753 secs]
[GC (Allocation Failure) -- 20426K->20474K(22528K), 0.0125007 secs]
[Full GC (Ergonomics)  20474K->4552K(22528K), 0.0126251 secs]
[GC (Allocation Failure) -- 16840K->20472K(22528K), 0.0465831 secs]
[Full GC (Ergonomics)  20472K->16834K(22528K), 0.0500076 secs]
[GC (Allocation Failure) -- 20421K->20477K(22528K), 0.0124943 secs]
[Full GC (Ergonomics)  20477K->4546K(22528K), 0.0116582 secs]
[GC (Allocation Failure) -- 16834K->20474K(22528K), 0.0445756 secs]
[Full GC (Ergonomics)  20474K->16831K(22528K), 0.0556875 secs]
[GC (Allocation Failure) -- 20425K->20473K(22528K), 0.0124782 secs]
[Full GC (Ergonomics)  20473K->4551K(22528K), 0.0131485 secs]
[GC (Allocation Failure) -- 16839K->20479K(22528K), 0.0463013 secs]
[Full GC (Ergonomics)  20479K->16836K(22528K), 0.0519328 secs]
[GC (Allocation Failure) -- 20446K->20478K(22528K), 0.0127700 secs]
[Full GC (Ergonomics)  20478K->4572K(22528K), 0.0111626 secs]
[GC (Allocation Failure) -- 16860K->20476K(22528K), 0.0475533 secs]
[Full GC (Ergonomics)  20476K->16846K(22528K), 0.0517999 secs]
[GC (Allocation Failure) -- 20426K->20474K(22528K), 0.0126238 secs]
[Full GC (Ergonomics)  20474K->4552K(22528K), 0.0132703 secs]
[GC (Allocation Failure) -- 16840K->20472K(22528K), 0.0460926 secs]
[Full GC (Ergonomics)  20472K->16823K(22528K), 0.0542242 secs]
[GC (Allocation Failure) -- 20419K->20475K(22528K), 0.0128641 secs]
[Full GC (Ergonomics)  20475K->4546K(22528K), 0.0128914 secs]
[GC (Allocation Failure) -- 16834K->20474K(22528K), 0.0478699 secs]
[Full GC (Ergonomics)  20474K->16833K(22528K), 0.0537545 secs]
[GC (Allocation Failure) -- 20424K->20472K(22528K), 0.0134399 secs]
[Full GC (Ergonomics)  20472K->4550K(22528K), 0.0118695 secs]
[GC (Allocation Failure) -- 16838K->20478K(22528K), 0.0464606 secs]
[Full GC (Ergonomics)  20478K->16833K(22528K), 0.0553908 secs]
